Site;Publication;Period;Lower_ context_date;Upper_context_date;Amphora_type;Provenance;Frequency;Notes;Amphora type lower date;Amphora type upper date
Padova, varie;Pastore P. 1992: ‘Anfore da varie località di Padova conservate presso la Soprintendenza Archeologica per il Veneto’, in S. Pesavento Mattioli ed., Anfore romane a Padova. Ritrovamenti dalla città, Modena, p. 103-150.;EI;1;200;Dr 2-4;Tyrrhenian Italy;7;;-70;225
Padova, varie;Pastore P. 1992: ‘Anfore da varie località di Padova conservate presso la Soprintendenza Archeologica per il Veneto’, in S. Pesavento Mattioli ed., Anfore romane a Padova. Ritrovamenti dalla città, Modena, p. 103-150.;EI;1;200;Pompeii 6;Tyrrhenian Italy;2;;1;200
Padova, varie;Pastore P. 1992: ‘Anfore da varie località di Padova conservate presso la Soprintendenza Archeologica per il Veneto’, in S. Pesavento Mattioli ed., Anfore romane a Padova. Ritrovamenti dalla città, Modena, p. 103-150.;EI;1;200;Camulodunum 184;Aegean;1;;-25;150
Padova, varie;Pastore P. 1992: ‘Anfore da varie località di Padova conservate presso la Soprintendenza Archeologica per il Veneto’, in S. Pesavento Mattioli ed., Anfore romane a Padova. Ritrovamenti dalla città, Modena, p. 103-150.;EI;1;200;Dr 7-11;Baetica;3;;-30;96
Padova, varie;Pastore P. 1992: ‘Anfore da varie località di Padova conservate presso la Soprintendenza Archeologica per il Veneto’, in S. Pesavento Mattioli ed., Anfore romane a Padova. Ritrovamenti dalla città, Modena, p. 103-150.;EI;1;200;Dr 25;S Italy/Eastern Mediterranean;1;;-25;100
Padova, varie;Pastore P. 1992: ‘Anfore da varie località di Padova conservate presso la Soprintendenza Archeologica per il Veneto’, in S. Pesavento Mattioli ed., Anfore romane a Padova. Ritrovamenti dalla città, Modena, p. 103-150.;LR;-150;-1;Dr 1;Tyrrhenian Italy;5;;-150;-50
Padova, varie;Pastore P. 1992: ‘Anfore da varie località di Padova conservate presso la Soprintendenza Archeologica per il Veneto’, in S. Pesavento Mattioli ed., Anfore romane a Padova. Ritrovamenti dalla città, Modena, p. 103-150.;LR;-150;-1;Lamb.2;Adriatic Italy;36;;-200;-25
Padova, varie;Pastore P. 1992: ‘Anfore da varie località di Padova conservate presso la Soprintendenza Archeologica per il Veneto’, in S. Pesavento Mattioli ed., Anfore romane a Padova. Ritrovamenti dalla città, Modena, p. 103-150.;LR/EI;-100;50;Dr 21-22;Sicilia/Italy/Western Mediterranean;1;;-25;100
Padova, via Beato Pellegrino;Cipriano S., Mazzocchin S., Pastore P. 1998: ‘Padova. Tre casi in aree a diversa funzionalita’, in S. Pesavento Mattioli ed., Bonifiche e drenaggi con anfore in epoca romana: aspetti tecnici e topografici (Atti del seminario di studi, Padova, 19-20 ottobre 1995, Materiali d'archeologia 3), Modena, p. 161-174.;EI;25;75;Dr 2-4;Tyrrhenian Italy;5;mid 1st c. AD;-70;225
Padova, via Beato Pellegrino;Cipriano S., Mazzocchin S., Pastore P. 1998: ‘Padova. Tre casi in aree a diversa funzionalita’, in S. Pesavento Mattioli ed., Bonifiche e drenaggi con anfore in epoca romana: aspetti tecnici e topografici (Atti del seminario di studi, Padova, 19-20 ottobre 1995, Materiali d'archeologia 3), Modena, p. 161-174.;EI;25;75;collo ad imbuto;Adriatic Italy;38;mid 1st c. AD;1;250
Padova, via Beato Pellegrino;Cipriano S., Mazzocchin S., Pastore P. 1998: ‘Padova. Tre casi in aree a diversa funzionalita’, in S. Pesavento Mattioli ed., Bonifiche e drenaggi con anfore in epoca romana: aspetti tecnici e topografici (Atti del seminario di studi, Padova, 19-20 ottobre 1995, Materiali d'archeologia 3), Modena, p. 161-174.;EI;25;75;Dr 6A;Adriatic Italy;2;mid 1st c. AD;-25;50
Padova, via Beato Pellegrino;Cipriano S., Mazzocchin S., Pastore P. 1998: ‘Padova. Tre casi in aree a diversa funzionalita’, in S. Pesavento Mattioli ed., Bonifiche e drenaggi con anfore in epoca romana: aspetti tecnici e topografici (Atti del seminario di studi, Padova, 19-20 ottobre 1995, Materiali d'archeologia 3), Modena, p. 161-174.;EI;25;75;AC3;Aegean;25;mid 1st c. AD;1;250
Padova, via Beato Pellegrino;Cipriano S., Mazzocchin S., Pastore P. 1998: ‘Padova. Tre casi in aree a diversa funzionalita’, in S. Pesavento Mattioli ed., Bonifiche e drenaggi con anfore in epoca romana: aspetti tecnici e topografici (Atti del seminario di studi, Padova, 19-20 ottobre 1995, Materiali d'archeologia 3), Modena, p. 161-174.;EI;25;75;Knossos 19;Aegean/Oriental;1;mid 1st c. AD;1;200
Padova, via Beato Pellegrino;Cipriano S., Mazzocchin S., Pastore P. 1998: ‘Padova. Tre casi in aree a diversa funzionalita’, in S. Pesavento Mattioli ed., Bonifiche e drenaggi con anfore in epoca romana: aspetti tecnici e topografici (Atti del seminario di studi, Padova, 19-20 ottobre 1995, Materiali d'archeologia 3), Modena, p. 161-174.;EI;25;75;Dr 6B;Adriatic Italy;136;mid 1st c. AD;1;150
Padova, via Beato Pellegrino;Cipriano S., Mazzocchin S., Pastore P. 1998: ‘Padova. Tre casi in aree a diversa funzionalita’, in S. Pesavento Mattioli ed., Bonifiche e drenaggi con anfore in epoca romana: aspetti tecnici e topografici (Atti del seminario di studi, Padova, 19-20 ottobre 1995, Materiali d'archeologia 3), Modena, p. 161-174.;EI;25;75;Dr 25;S Italy/Eastern Mediterranean;34;mid 1st c. AD;-25;100
Padova, via Beato Pellegrino;Cipriano S., Mazzocchin S., Pastore P. 1998: ‘Padova. Tre casi in aree a diversa funzionalita’, in S. Pesavento Mattioli ed., Bonifiche e drenaggi con anfore in epoca romana: aspetti tecnici e topografici (Atti del seminario di studi, Padova, 19-20 ottobre 1995, Materiali d'archeologia 3), Modena, p. 161-174.;EI;25;75;Camulodunum 184;Aegean;4;mid 1st c. AD;-25;150
Padova, via Beato Pellegrino;Cipriano S., Mazzocchin S., Pastore P. 1998: ‘Padova. Tre casi in aree a diversa funzionalita’, in S. Pesavento Mattioli ed., Bonifiche e drenaggi con anfore in epoca romana: aspetti tecnici e topografici (Atti del seminario di studi, Padova, 19-20 ottobre 1995, Materiali d'archeologia 3), Modena, p. 161-174.;EI;25;75;Haltern 70;Baetica;2;mid 1st c. AD;-80;192
Padova, via Beato Pellegrino;Cipriano S., Mazzocchin S., Pastore P. 1998: ‘Padova. Tre casi in aree a diversa funzionalita’, in S. Pesavento Mattioli ed., Bonifiche e drenaggi con anfore in epoca romana: aspetti tecnici e topografici (Atti del seminario di studi, Padova, 19-20 ottobre 1995, Materiali d'archeologia 3), Modena, p. 161-174.;LR/EI;25;75;Dr 21-22;Western Mediterranean;2;mid 1st c. AD;-25;100
Padova, Via Gattamellata;Cipriano S., Mazzocchin S., Pastore P. 1998: ‘Padova. Tre casi in aree a diversa funzionalita’, in S. Pesavento Mattioli ed., Bonifiche e drenaggi con anfore in epoca romana: aspetti tecnici e topografici (Atti del seminario di studi, Padova, 19-20 ottobre 1995, Materiali d'archeologia 3), Modena, p. 161-174.;EI;50;100;Dr 6B/ovoid;Adriatic Italy;12;50-100 AD;1;150
Padova, Via Gattamellata;Cipriano S., Mazzocchin S., Pastore P. 1998: ‘Padova. Tre casi in aree a diversa funzionalita’, in S. Pesavento Mattioli ed., Bonifiche e drenaggi con anfore in epoca romana: aspetti tecnici e topografici (Atti del seminario di studi, Padova, 19-20 ottobre 1995, Materiali d'archeologia 3), Modena, p. 161-174.;EI;50;100;Dr 2-4;Tyrrhenian Italy;11;50-100 AD;-70;225
Padova, Via Gattamellata;Cipriano S., Mazzocchin S., Pastore P. 1998: ‘Padova. Tre casi in aree a diversa funzionalita’, in S. Pesavento Mattioli ed., Bonifiche e drenaggi con anfore in epoca romana: aspetti tecnici e topografici (Atti del seminario di studi, Padova, 19-20 ottobre 1995, Materiali d'archeologia 3), Modena, p. 161-174.;EI;50;100;Dr 6A;Adriatic Italy;170;50-100 AD;-25;50
Padova, Via Gattamellata;Cipriano S., Mazzocchin S., Pastore P. 1998: ‘Padova. Tre casi in aree a diversa funzionalita’, in S. Pesavento Mattioli ed., Bonifiche e drenaggi con anfore in epoca romana: aspetti tecnici e topografici (Atti del seminario di studi, Padova, 19-20 ottobre 1995, Materiali d'archeologia 3), Modena, p. 161-174.;EI;50;100;Dr 43;Aegean;5;50-100 AD;1;250
Padova, Via Gattamellata;Cipriano S., Mazzocchin S., Pastore P. 1998: ‘Padova. Tre casi in aree a diversa funzionalita’, in S. Pesavento Mattioli ed., Bonifiche e drenaggi con anfore in epoca romana: aspetti tecnici e topografici (Atti del seminario di studi, Padova, 19-20 ottobre 1995, Materiali d'archeologia 3), Modena, p. 161-174.;EI;50;100;Dr 6B;Adriatic Italy;254;50-100 AD;1;150
Padova, Via Gattamellata;Cipriano S., Mazzocchin S., Pastore P. 1998: ‘Padova. Tre casi in aree a diversa funzionalita’, in S. Pesavento Mattioli ed., Bonifiche e drenaggi con anfore in epoca romana: aspetti tecnici e topografici (Atti del seminario di studi, Padova, 19-20 ottobre 1995, Materiali d'archeologia 3), Modena, p. 161-174.;EI;50;100;Forlimpopoli;Adriatic Italy;38;50-100 AD;-25;300
Padova, Via Gattamellata;Cipriano S., Mazzocchin S., Pastore P. 1998: ‘Padova. Tre casi in aree a diversa funzionalita’, in S. Pesavento Mattioli ed., Bonifiche e drenaggi con anfore in epoca romana: aspetti tecnici e topografici (Atti del seminario di studi, Padova, 19-20 ottobre 1995, Materiali d'archeologia 3), Modena, p. 161-174.;EI;50;100;Camulodunum 184;Aegean;7;50-100 AD;-25;150
Padova, Via Gattamellata;Cipriano S., Mazzocchin S., Pastore P. 1998: ‘Padova. Tre casi in aree a diversa funzionalita’, in S. Pesavento Mattioli ed., Bonifiche e drenaggi con anfore in epoca romana: aspetti tecnici e topografici (Atti del seminario di studi, Padova, 19-20 ottobre 1995, Materiali d'archeologia 3), Modena, p. 161-174.;EI;50;100;Dr 7-11;Baetica;7;50-100 AD;-30;96
Padova, Via Gattamellata;Cipriano S., Mazzocchin S., Pastore P. 1998: ‘Padova. Tre casi in aree a diversa funzionalita’, in S. Pesavento Mattioli ed., Bonifiche e drenaggi con anfore in epoca romana: aspetti tecnici e topografici (Atti del seminario di studi, Padova, 19-20 ottobre 1995, Materiali d'archeologia 3), Modena, p. 161-174.;EI;50;100;Africana ;Africa;2;50-100 AD;50;100
Padova, Via Gattamellata;Cipriano S., Mazzocchin S., Pastore P. 1998: ‘Padova. Tre casi in aree a diversa funzionalita’, in S. Pesavento Mattioli ed., Bonifiche e drenaggi con anfore in epoca romana: aspetti tecnici e topografici (Atti del seminario di studi, Padova, 19-20 ottobre 1995, Materiali d'archeologia 3), Modena, p. 161-174.;LR;50;100;Lamb.2;Adriatic Italy;38;50-100 AD;-200;-25
Padua;Ganzarolli G. 2015: ‘Le anfore tardoantiche e altomedievali dal contesto del Battisero di Padova’, Archeologia Veneta 28, p. 80-127.;EI;1;200;Dr 6B;Adriatic Italy;1;Battisterio di Padova;1;150
Padua;Ganzarolli G. 2015: ‘Le anfore tardoantiche e altomedievali dal contesto del Battisero di Padova’, Archeologia Veneta 28, p. 80-127.;EI;1;200;Camulodunum 184;Rhodes;1;Battisterio di Padova;-25;150
Padua;Ganzarolli G. 2015: ‘Le anfore tardoantiche e altomedievali dal contesto del Battisero di Padova’, Archeologia Veneta 28, p. 80-127.;EI;1;200;collo ad imbuto;Adriatic Italy;1;Battisterio di Padova;1;250
Padua;Ganzarolli G. 2015: ‘Le anfore tardoantiche e altomedievali dal contesto del Battisero di Padova’, Archeologia Veneta 28, p. 80-127.;EI;1;200;Africana IIA;Africa;1;Battisterio di Padova;150;300
Padua;Ganzarolli G. 2015: ‘Le anfore tardoantiche e altomedievali dal contesto del Battisero di Padova’, Archeologia Veneta 28, p. 80-127.;LI;300;700;spatheia;Africa;1;Battisterio di Padova;375;700
Padua;Ganzarolli G. 2015: ‘Le anfore tardoantiche e altomedievali dal contesto del Battisero di Padova’, Archeologia Veneta 28, p. 80-127.;LI;300;700;Keay 52;Calabria/Sicilia;3;Battisterio di Padova;350;700
Padua;Ganzarolli G. 2015: ‘Le anfore tardoantiche e altomedievali dal contesto del Battisero di Padova’, Archeologia Veneta 28, p. 80-127.;LI;300;700;Keay 27;Africa;1;Battisterio di Padova;350;500
Padua;Ganzarolli G. 2015: ‘Le anfore tardoantiche e altomedievali dal contesto del Battisero di Padova’, Archeologia Veneta 28, p. 80-127.;LI;300;700;Keay 25;Africa;1;Battisterio di Padova;300;450
Padua;Ganzarolli G. 2015: ‘Le anfore tardoantiche e altomedievali dal contesto del Battisero di Padova’, Archeologia Veneta 28, p. 80-127.;LI;300;700;Keay 57;Africa;2;Battisterio di Padova;450;500
Padua;Ganzarolli G. 2015: ‘Le anfore tardoantiche e altomedievali dal contesto del Battisero di Padova’, Archeologia Veneta 28, p. 80-127.;LI;300;700;Keay 35;Africa;2;Battisterio di Padova;400;500
Padua;Ganzarolli G. 2015: ‘Le anfore tardoantiche e altomedievali dal contesto del Battisero di Padova’, Archeologia Veneta 28, p. 80-127.;LI;300;700;Keay 62;Africa;3;Battisterio di Padova;475;625
Padua;Ganzarolli G. 2015: ‘Le anfore tardoantiche e altomedievali dal contesto del Battisero di Padova’, Archeologia Veneta 28, p. 80-127.;LI;300;700;Keay 61;Africa;1;Battisterio di Padova;450;700
Padua;Ganzarolli G. 2015: ‘Le anfore tardoantiche e altomedievali dal contesto del Battisero di Padova’, Archeologia Veneta 28, p. 80-127.;LI;300;700;Keay 34;Africa;1;Battisterio di Padova;475;700
Padua;Ganzarolli G. 2015: ‘Le anfore tardoantiche e altomedievali dal contesto del Battisero di Padova’, Archeologia Veneta 28, p. 80-127.;LI;300;700;MR18/Dr 24;Pergamon;1;Battisterio di Padova;1;300
Padua;Ganzarolli G. 2015: ‘Le anfore tardoantiche e altomedievali dal contesto del Battisero di Padova’, Archeologia Veneta 28, p. 80-127.;LI;300;700;LRA1;Orient;6;Battisterio di Padova;250;650
Padua;Ganzarolli G. 2015: ‘Le anfore tardoantiche e altomedievali dal contesto del Battisero di Padova’, Archeologia Veneta 28, p. 80-127.;LI;300;700;LRA3;Anatolia;2;Battisterio di Padova;375;600
Padua;Ganzarolli G. 2015: ‘Le anfore tardoantiche e altomedievali dal contesto del Battisero di Padova’, Archeologia Veneta 28, p. 80-127.;LI;300;700;LRA4;Gaza;14;Battisterio di Padova;400;700
Palazzo Corigliano, Naples;Bragantini I, Cipriano M.T., Improta P., Anfore, Ricerche archeologiche a Napoli. Lo scavo di Palazzo Corigliano, I. Bragantini (ed.), Archeologia e storia antica no. 7, 1991, pp. 88-103;EI;1;200;Dr 43;Aegean;5;;1;250
Palazzo Corigliano, Naples;Bragantini I, Cipriano M.T., Improta P., Anfore, Ricerche archeologiche a Napoli. Lo scavo di Palazzo Corigliano, I. Bragantini (ed.), Archeologia e storia antica no. 7, 1991, pp. 88-103;EI;1;200;Dr 2-4;Tyrrhenian Italy;9;;-70;225
Palazzo Corigliano, Naples;Bragantini I, Cipriano M.T., Improta P., Anfore, Ricerche archeologiche a Napoli. Lo scavo di Palazzo Corigliano, I. Bragantini (ed.), Archeologia e storia antica no. 7, 1991, pp. 88-103;EI;1;200;Dr 2-4;Tarraconesis;2;;-25;200
Palazzo Corigliano, Naples;Bragantini I, Cipriano M.T., Improta P., Anfore, Ricerche archeologiche a Napoli. Lo scavo di Palazzo Corigliano, I. Bragantini (ed.), Archeologia e storia antica no. 7, 1991, pp. 88-103;EI;1;200;Dr 2-4;Aegean;2;;-25;100
Palazzo Corigliano, Naples;Bragantini I, Cipriano M.T., Improta P., Anfore, Ricerche archeologiche a Napoli. Lo scavo di Palazzo Corigliano, I. Bragantini (ed.), Archeologia e storia antica no. 7, 1991, pp. 88-103;EI;1;200;Dr 2-4;unknown;2;;1;200
Palazzo Corigliano, Naples;Bragantini I, Cipriano M.T., Improta P., Anfore, Ricerche archeologiche a Napoli. Lo scavo di Palazzo Corigliano, I. Bragantini (ed.), Archeologia e storia antica no. 7, 1991, pp. 88-103;EI;1;200;Schoene-Mau 41;Aegean/Oriental;3;;1;200
Palazzo Corigliano, Naples;Bragantini I, Cipriano M.T., Improta P., Anfore, Ricerche archeologiche a Napoli. Lo scavo di Palazzo Corigliano, I. Bragantini (ed.), Archeologia e storia antica no. 7, 1991, pp. 88-103;EI;1;200;AC1;Aegean;3;;1;350
Palazzo Corigliano, Naples;Bragantini I, Cipriano M.T., Improta P., Anfore, Ricerche archeologiche a Napoli. Lo scavo di Palazzo Corigliano, I. Bragantini (ed.), Archeologia e storia antica no. 7, 1991, pp. 88-103;EI;1;200;Camulodunum 184;Aegean;3;;-25;150
Palazzo Corigliano, Naples;Bragantini I, Cipriano M.T., Improta P., Anfore, Ricerche archeologiche a Napoli. Lo scavo di Palazzo Corigliano, I. Bragantini (ed.), Archeologia e storia antica no. 7, 1991, pp. 88-103;EI;1;200;Agora G198 (Schoene Mau XIII);Orient;3;;75;200
Palazzo Corigliano, Naples;Bragantini I, Cipriano M.T., Improta P., Anfore, Ricerche archeologiche a Napoli. Lo scavo di Palazzo Corigliano, I. Bragantini (ed.), Archeologia e storia antica no. 7, 1991, pp. 88-103;EI;1;200;Dr 21-22;Italy;1;;-25;100
Palazzo Corigliano, Naples;Bragantini I, Cipriano M.T., Improta P., Anfore, Ricerche archeologiche a Napoli. Lo scavo di Palazzo Corigliano, I. Bragantini (ed.), Archeologia e storia antica no. 7, 1991, pp. 88-103;EI;1;200;Dr 7-11;Baetica;6;;-30;96
Palazzo Corigliano, Naples;Bragantini I, Cipriano M.T., Improta P., Anfore, Ricerche archeologiche a Napoli. Lo scavo di Palazzo Corigliano, I. Bragantini (ed.), Archeologia e storia antica no. 7, 1991, pp. 88-103;EI;1;200;African;Africa;4;;1;200
Palazzo Corigliano, Naples;Bragantini I, Cipriano M.T., Improta P., Anfore, Ricerche archeologiche a Napoli. Lo scavo di Palazzo Corigliano, I. Bragantini (ed.), Archeologia e storia antica no. 7, 1991, pp. 88-103;EI;1;200;Dr 20;Baetica;2;;1;300
Palazzo Corigliano, Naples;Bragantini I, Cipriano M.T., Improta P., Anfore, Ricerche archeologiche a Napoli. Lo scavo di Palazzo Corigliano, I. Bragantini (ed.), Archeologia e storia antica no. 7, 1991, pp. 88-103;EI;1;200;Schoene-Mau 15;Aegean/Oriental;2;;-10;200
Palazzo Corigliano, Naples;Bragantini I, Cipriano M.T., Improta P., Anfore, Ricerche archeologiche a Napoli. Lo scavo di Palazzo Corigliano, I. Bragantini (ed.), Archeologia e storia antica no. 7, 1991, pp. 88-103;EI;1;200;Agora F65-66;Anatolia;3;;-50;400
Palazzo Corigliano, Naples;Bragantini I, Cipriano M.T., Improta P., Anfore, Ricerche archeologiche a Napoli. Lo scavo di Palazzo Corigliano, I. Bragantini (ed.), Archeologia e storia antica no. 7, 1991, pp. 88-103;EI;1;200;Dr 24;Aegean/Oriental;4;;1;300
Palazzo Corigliano, Naples;Bragantini I, Cipriano M.T., Improta P., Anfore, Ricerche archeologiche a Napoli. Lo scavo di Palazzo Corigliano, I. Bragantini (ed.), Archeologia e storia antica no. 7, 1991, pp. 88-103;EI;1;200;Tripolitana ;Tripolitania;11;;1;440
Palazzo Corigliano, Naples;Bragantini I, Cipriano M.T., Improta P., Anfore, Ricerche archeologiche a Napoli. Lo scavo di Palazzo Corigliano, I. Bragantini (ed.), Archeologia e storia antica no. 7, 1991, pp. 88-103;EI;1;200;Haltern 70;Baetica;1;;-80;192
Palazzo Corigliano, Naples;Bragantini I, Cipriano M.T., Improta P., Anfore, Ricerche archeologiche a Napoli. Lo scavo di Palazzo Corigliano, I. Bragantini (ed.), Archeologia e storia antica no. 7, 1991, pp. 88-103;LR;-150;-1;Greco-Ital;Italy;3;;-350;-150
Palazzo Corigliano, Naples;Bragantini I, Cipriano M.T., Improta P., Anfore, Ricerche archeologiche a Napoli. Lo scavo di Palazzo Corigliano, I. Bragantini (ed.), Archeologia e storia antica no. 7, 1991, pp. 88-103;LR/EI;-100;50;Pascual 1;Tarraconesis;1;;-50;79
Paola, S. Agata-Despar;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;EI;1;200;Dr 2-4;Tyrrhenian Italy;2;;-70;225
Paola, S. Agata-Despar;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;EI/LI;200;400;Africana I;Africa;7;;150;400
Paola, S. Agata-Despar;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;EI/LI;200;400;Africana IIC-D;Africa;8;;150;400
Paola, S. Agata-Despar;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;EI/LI;200;400;Tripolitana III;Tripolitania;1;;209;440
Paola, S. Agata-Despar;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;LI;300;700;Africana III;Africa;8;;275;450
Paola, S. Agata-Despar;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;LI;300;700;spatheia;Africa;5;;375;700
Paola, S. Agata-Despar;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;LI;300;700;Keay 38;Africa;1;;300;700
Paola, S. Agata-Despar;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;LI;300;700;Keay 56;Africa;3;;475;550
Paola, S. Agata-Despar;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;LI;300;700;Keay 62;Africa;1;;475;625
Paola, S. Agata-Despar;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;LI;300;700;Keay 61;Africa;1;;450;700
Paola, S. Agata-Despar;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;LI;300;700;LRA1;Orient;1;;250;650
Paola, S. Agata-Despar;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;LI;300;700;Keay 52;Calabria/Sicilia;11;;350;700
Paola, S. Agata-Despar;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;LI;300;700;fondo piatto;Calabria/Sicilia;3;;300;700
Paola, S. Agata-Despar;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;LI;300;700;Almagro 51C;Lusitania;2;;200;500
Paola, Villa Romana di contrada Cutura;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;EI;1;200;Dr 2-4;Tyrrhenian Italy;4;;-70;225
Paola, Villa Romana di contrada Cutura;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;EI;1;200;Campanian almond-rim;Tyrrhenian Italy;2;;200;350
Paola, Villa Romana di contrada Cutura;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;EI;1;200;Dr 2-4;Aegean;1;;-100;200
Paola, Villa Romana di contrada Cutura;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;EI;1;200;Ostia XXIII;Africa;1;;50;150
Paola, Villa Romana di contrada Cutura;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;EI/LI;200;400;Africana I;Africa;1;;150;400
Paola, Villa Romana di contrada Cutura;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;LI;300;700;Dr 30;Africa;1;;200;400
Paola, Villa Romana di contrada Cutura;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;LR;-150;-1;Dr 1;Tyrrhenian Italy;3;;-150;-50
Paola, Villa Romana di contrada Cutura;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;LR;-150;-1;Lamb.2;Adriatic Italy;1;;-200;-25
Paola, Villa Romana di contrada Cutura;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;LR;-150;-1;Lamb.2/Dr 1;Adriatic Italy;1;;-200;-25
Paola, Villa Romana di contrada Cutura;Tosti T., 2014 Le anfore dagli scavi di Paola (CS), MA thesis Universita della Calabria;LR/EI;-100;50;Dr 21-22;Tyrrhenian Italy;1;;-25;100
Polesine;Toniolo A. 1987: ‘I contenitori da trasporto di epoca romana nel Polesine di Rovigno’, Archeologia Veneta 10, p. 87-128.;EI;1;200;Brindisi;Adriatic Italy;2;;-125;25
Polesine;Toniolo A. 1987: ‘I contenitori da trasporto di epoca romana nel Polesine di Rovigno’, Archeologia Veneta 10, p. 87-128.;EI;1;200;Dr 6A;Adriatic Italy;22;;-25;50
Polesine;Toniolo A. 1987: ‘I contenitori da trasporto di epoca romana nel Polesine di Rovigno’, Archeologia Veneta 10, p. 87-128.;EI;1;200;Dr 6B;Adriatic Italy;20;;1;150
Polesine;Toniolo A. 1987: ‘I contenitori da trasporto di epoca romana nel Polesine di Rovigno’, Archeologia Veneta 10, p. 87-128.;EI;1;200;Dr 7-13;Baetica;6;;-30;150
Polesine;Toniolo A. 1987: ‘I contenitori da trasporto di epoca romana nel Polesine di Rovigno’, Archeologia Veneta 10, p. 87-128.;EI;1;200;Dr 2-4;Tyrrhenian Italy;8;;-70;225
Polesine;Toniolo A. 1987: ‘I contenitori da trasporto di epoca romana nel Polesine di Rovigno’, Archeologia Veneta 10, p. 87-128.;EI;1;200;Dr 43;Crete;10;;1;250
Polesine;Toniolo A. 1987: ‘I contenitori da trasporto di epoca romana nel Polesine di Rovigno’, Archeologia Veneta 10, p. 87-128.;EI;1;200;Dr 20;Baetica;4;;1;300
Polesine;Toniolo A. 1987: ‘I contenitori da trasporto di epoca romana nel Polesine di Rovigno’, Archeologia Veneta 10, p. 87-128.;EI;1;200;Gauloise 4;Gaul;1;;50;300
Polesine;Toniolo A. 1987: ‘I contenitori da trasporto di epoca romana nel Polesine di Rovigno’, Archeologia Veneta 10, p. 87-128.;EI;1;200;Aricana;Africa;7;;1;200
Polesine;Toniolo A. 1987: ‘I contenitori da trasporto di epoca romana nel Polesine di Rovigno’, Archeologia Veneta 10, p. 87-128.;LI;300;700;Almagro 50;Lusitania;1;;200;500
Polesine;Toniolo A. 1987: ‘I contenitori da trasporto di epoca romana nel Polesine di Rovigno’, Archeologia Veneta 10, p. 87-128.;LI;300;700;spatheia;Africa;1;;375;700
Porto Maurizio, Liguria;Poci A., Le anfore di età romana (I sec a.C – V d.C-) dall’insediamento alla foce del torrente Prino, Imperia-Porto Maurizio, tesi di laurea Università di Pisa, 2013.;EI;1;200;Dr 2-4;Tyrrhenian Italy;50;;-70;225
Porto Maurizio, Liguria;Poci A., Le anfore di età romana (I sec a.C – V d.C-) dall’insediamento alla foce del torrente Prino, Imperia-Porto Maurizio, tesi di laurea Università di Pisa, 2013.;EI;1;200;Dr 2-4;Adriatic Italy;3;;-70;225
Porto Maurizio, Liguria;Poci A., Le anfore di età romana (I sec a.C – V d.C-) dall’insediamento alla foce del torrente Prino, Imperia-Porto Maurizio, tesi di laurea Università di Pisa, 2013.;EI;1;200;Dr 2-4;Gaul;2;;-30;100
Porto Maurizio, Liguria;Poci A., Le anfore di età romana (I sec a.C – V d.C-) dall’insediamento alla foce del torrente Prino, Imperia-Porto Maurizio, tesi di laurea Università di Pisa, 2013.;EI;1;200;Gauloise 1;Gaul;1;;1;300
Porto Maurizio, Liguria;Poci A., Le anfore di età romana (I sec a.C – V d.C-) dall’insediamento alla foce del torrente Prino, Imperia-Porto Maurizio, tesi di laurea Università di Pisa, 2013.;EI;1;200;Gauloise 2;Gaul;3;;-40;14
